292;23
226;108
386;273
286;20
96;266
413;305
269;54
193;171
441;247
307;37
190;173
349;261
472;230
555;144
538;37
263;37
147;169
276;293
367;297
490;253
545;105
275;55
125;220
273;304
428;303
531;168
299;52
155;191
318;276
511;273
544;153
295;54
203;183
317;243
466;274
568;111
297;58
200;138
383;250
576;160
315;34
193;132
272;302
439;295
586;190
275;26
164;145
293;279
426;286
574;171
222;45
138;264
250;289
405;17
296;120
254;47
103;233
303;296
522;222
586;136
304;35
153;173
288;260
455;319
576;154
277;43
177;206
351;268
487;268
615;128
286;39
196;146
326;295
448;273
603;87
330;55
197;166
343;272
498;287
607;109
364;52
235;235
412;264
591;174
323;45
205;197
338;311
502;304
627;150
357;22
123;150
229;254
384;263
559;153
232;67
138;140
266;291
462;290
572;113
308;42
197;178
359;272
494;268
588;173
312;68
206;159
290;260
438;256
573;98
233;3
93;308
294;302
414;53
262;151
326;39
184;240
400;306
533;170
505;72
399;161
263;36
191;123
292;281
447;232
456;52
351;113
273;22
159;159
332;311
332;311
347;290
446;36
292;179
257;49
173;146
211;197
400;314
488;23
328;154
348;41
214;146
358;347
497;277
529;36
399;152
286;27
171;172
341;316
491;266
488;13
370;215
391;53
305;34
215;173
338;290
490;238
491;4
384;195
390;37
269;38
164;136
265;306
465;242
423;8
306;194
259;29
134;111
172;282
319;312
498;216
566;65
280;15
140;163
295;272
453;193
514;81
300;47
170;166
304;278
465;255
538;160
252;50
118;158
311;273
480;246
558;126
300;29
164;137
199;238
324;281
483;174
246;70
290;47
163;170
288;272
410;265
544;147
265;57
160;154
308;280
461;258
579;154
284;60
181;198
300;288
436;283
557;151
303;20
175;143
266;270
381;258
455;36
269;42
142;150
253;282
519;225
556;76
273;50
183;126
307;264
517;223
580;83
238;28
107;130
189;247
355;265
556;112
281;49
141;166
244;262
399;285
399;285
544;176
562;99
233;69
170;118
281;260
474;228
599;84
290;70
156;206
342;295
480;247
563;79
273;42
140;146
238;288
456;254
540;141
263;46
263;46
263;46
161;134
218;282
395;283
561;151
254;27
107;169
237;295
495;214
540;88
281;67
188;135
290;308
517;252
568;80
253;32
155;134
302;293
510;277
598;81
279;68
206;154
279;277
433;275
573;117
294;51
163;133
211;265
356;279
525;218
534;116
191;25
119;156
227;295
370;254
358;18
248;191
249;88
253;56
140;129
271;275
480;236
605;64
293;77
167;166
271;273
421;300
559;163
260;55
114;226
401;332
527;276
579;137
318;29
66;193
253;260
451;262
562;150
302;79
183;183
227;272
413;278
563;140
284;49
174;145
243;261
424;271
568;116
280;49
122;161
235;281
420;279
552;119
241;26
141;217
302;270
470;200
221;55
106;224
336;324
482;251
559;99
230;16
122;111
158;216
337;258
509;149
298;30
194;149
287;196
459;252
549;149
256;47
123;162
216;256
339;269
499;171
299;72
176;152
234;254
410;289
551;176
346;38
161;173
287;284
467;273
281;39
157;171
226;226
344;248
485;131
273;44
167;165
181;185
316;253
513;157
263;71
177;144
267;244
486;214
551;131
217;52
173;149
305;285
581;148
330;39
167;160
271;272
564;273
278;62
163;177
272;305
447;280
546;136
260;64
140;196
303;308
524;193
301;30
113;192
308;308
561;166
264;51
128;165
212;275
392;281
565;131
289;60
155;207
302;326
514;259
578;33
239;105
274;63
172;204
318;298
467;233
296;44
181;140
280;291
458;273
539;76
294;79
226;177
372;320
558;148
316;93
274;142
310;150
356;137
291;91
220;163
265;211
379;172
275;63
164;165
233;275
395;265
551;113
274;67
199;185
398;284
529;167
264;107
208;207
468;179
484;162
300;63
199;143
330;264
463;266
588;160
279;47
211;174
382;259
473;160
141;56
103;112
240;212
399;107
228;29
157;108
303;212
431;136
316;42
188;212
382;293
518;186
326;98
244;207
375;264
515;170
345;93
269;175
425;236
523;172
308;65
200;221
449;241
605;47
310;57
204;166
297;240
486;168
265;64
192;159
252;270
450;234
249;90
144;200
301;302
461;199
304;73
236;127
343;304
520;220
302;55
191;160
326;287
536;209
304;36
169;192
387;272
564;127
335;74
259;143
290;231
509;202
259;56
158;152
315;268
563;119
252;46
150;141
270;270
491;152
306;33
170;157
385;290
585;154
276;66
168;187
286;270
587;155
280;19
175;177
367;278
568;149
271;86
133;200
320;299
511;151
263;62
172;178
291;301
